 
"","PM05241PA"
"","Tipo de cambio (S/ por US$) - Bancario (promedio del periodo) - Compra"
2000,n.d.
2001,n.d.
2002,3.51536106554264
2003,3.47768822150072
2004,3.41224819860092
2005,3.29497727177793
2006,3.27311008394944
2007,3.12789456501101
2008,2.92378217070454
2009,3.01080048226627
2010,2.82443598212428
2011,2.75349086158248
2012,2.63697354497354
2013,2.70102023050049
2014,2.83740194805195
2015,3.18278890873016
2016,3.37299762094631
2017,3.2588121860839
2018,3.28507164881902
2019,3.33518389249639
2020,3.49268073593074
2021,3.87696421591693
2022,3.8309784440515
2023,3.74026227243284
2024,3.74956678533455
2025,3.56344094231792
2026,n.d.
		
